pts,frame_type,source,confidence,cx,cy,w,h
115712,B,PROP,0.92,3.1511018518518528,3.9974156250000012,2.1588000000000003,3.5434
116224,B,PROP,0.92,3.18188888888889,4.015644791666668,2.1588000000000003,3.5434
117248,B,PROP,0.92,3.2159166666666676,4.032051041666668,2.1588000000000003,3.5434
117760,B,PROP,0.92,3.230500000000001,4.030228125000002,2.1588000000000003,3.5434
118784,B,PROP,0.92,3.2369814814814823,4.013821875000001,2.1588000000000003,3.5434
119296,B,PROP,0.92,3.235361111111112,4.004707291666668,2.1588000000000003,3.5434
120320,B,PROP,0.92,3.2288796296296307,3.9928583333333347,2.1588000000000003,3.5434
120832,B,PROP,0.92,3.2288796296296307,3.988301041666668,2.1588000000000003,3.5434
121856,B,PROP,0.92,3.2272592592592604,3.978275000000002,2.1588000000000003,3.5434
122368,B,PROP,0.92,3.22563888888889,3.978275000000002,2.1588000000000003,3.5434
123392,B,PROP,0.92,2.89042962962963,3.942691666666667,1.6708999999999998,2.8434
123904,B,PROP,0.92,2.89042962962963,3.948160416666667,1.6708999999999998,2.8434
124928,B,PROP,0.92,2.8871888888888892,3.972769791666667,1.6708999999999998,2.8434
125440,B,PROP,0.92,2.885568518518519,3.9909989583333334,1.6708999999999998,2.8434
126464,B,PROP,0.92,2.885568518518519,4.0311031250000005,1.6708999999999998,2.8434
126976,B,PROP,0.92,2.8823277777777783,4.0402177083333335,1.6708999999999998,2.8434
128000,B,PROP,0.92,2.843438888888889,4.0356604166666665,1.6708999999999998,2.8434
128512,B,PROP,0.92,2.8239944444444447,4.038394791666667,1.6708999999999998,2.8434
129536,B,PROP,0.92,2.798068518518519,4.015608333333334,1.6708999999999998,2.8434
130048,B,PROP,0.92,2.798068518518519,4.007405208333334,1.6708999999999998,2.8434
131072,B,PROP,0.92,2.8207537037037045,3.9928218750000006,1.6708999999999998,2.8434
131584,B,PROP,0.92,2.836957407407408,3.9873531250000007,1.6708999999999998,2.8434
132608,B,PROP,0.92,2.874225925925927,3.9846187500000005,1.6708999999999998,2.8434
133120,B,PROP,0.92,2.8888092592592605,3.989176041666667,1.6708999999999998,2.8434
134144,B,PROP,0.92,2.9293185185185195,4.005582291666667,1.6708999999999998,2.8434
134656,B,PROP,0.92,2.9455222222222233,4.014696875,1.6708999999999998,2.8434
135680,B,PROP,0.92,2.9633462962962973,4.035660416666667,1.6708999999999998,2.8434
136192,B,PROP,0.92,2.9503833333333342,4.041129166666668,1.6708999999999998,2.8434
137216,B,PROP,0.92,2.9066333333333345,4.046597916666667,1.6708999999999998,2.8434
137728,B,PROP,0.92,2.8758462962962974,4.047509375000001,1.6708999999999998,2.8434
138752,B,PROP,0.92,2.903483333333333,3.8150000000000004,1.5336999999999996,2.3296
139264,B,PROP,0.92,2.8824185185185183,3.810442708333334,1.5336999999999996,2.3296
140288,B,PROP,0.92,2.827325925925926,3.808619791666667,1.5336999999999996,2.3296
140800,B,PROP,0.92,2.819224074074074,3.802239583333334,1.5336999999999996,2.3296
141824,B,PROP,0.92,2.8014,3.792213541666667,1.5336999999999996,2.3296
142336,B,PROP,0.92,2.7900574074074074,3.788567708333334,1.5336999999999996,2.3296
