video_name,status,total_frames,i_frames,p_frames,b_frames,propagated_frames,tracking_data,motion_data,error,processing_time
Walking (107),SUCCESS,299,10,90,199,289,C:\Users\newuser\capstone_project\output\Walking (107)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (107)\motion\roi_motion_data.json,,6.50s
Walking (108),SUCCESS,305,11,91,203,294,C:\Users\newuser\capstone_project\output\Walking (108)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (108)\motion\roi_motion_data.json,,7.38s
Walking (109),SUCCESS,302,11,90,201,291,C:\Users\newuser\capstone_project\output\Walking (109)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (109)\motion\roi_motion_data.json,,6.98s
Walking (110),SUCCESS,299,10,90,199,289,C:\Users\newuser\capstone_project\output\Walking (110)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (110)\motion\roi_motion_data.json,,5.71s
Walking (111),SUCCESS,307,11,92,204,296,C:\Users\newuser\capstone_project\output\Walking (111)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (111)\motion\roi_motion_data.json,,7.07s
Walking (112),SUCCESS,292,10,88,194,282,C:\Users\newuser\capstone_project\output\Walking (112)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (112)\motion\roi_motion_data.json,,8.96s
Walking (113),SUCCESS,218,8,65,145,210,C:\Users\newuser\capstone_project\output\Walking (113)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (113)\motion\roi_motion_data.json,,6.65s
Walking (114),SUCCESS,265,9,80,176,256,C:\Users\newuser\capstone_project\output\Walking (114)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (114)\motion\roi_motion_data.json,,11.56s
Walking (115),SUCCESS,310,11,93,206,299,C:\Users\newuser\capstone_project\output\Walking (115)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (115)\motion\roi_motion_data.json,,13.19s
Walking (116),SUCCESS,317,11,95,211,306,C:\Users\newuser\capstone_project\output\Walking (116)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (116)\motion\roi_motion_data.json,,12.77s
Walking (117),SUCCESS,299,10,90,199,289,C:\Users\newuser\capstone_project\output\Walking (117)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (117)\motion\roi_motion_data.json,,12.72s
Walking (118),SUCCESS,285,10,85,190,275,C:\Users\newuser\capstone_project\output\Walking (118)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (118)\motion\roi_motion_data.json,,12.14s
Walking (119),SUCCESS,274,10,82,182,264,C:\Users\newuser\capstone_project\output\Walking (119)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (119)\motion\roi_motion_data.json,,12.09s
Walking (120),SUCCESS,291,10,87,194,281,C:\Users\newuser\capstone_project\output\Walking (120)\tracking\tracking_results.csv,C:\Users\newuser\capstone_project\output\Walking (120)\motion\roi_motion_data.json,,10.43s
